m_tiles,n_tiles,k_tiles,a_tile_kb,b_tile_kb,c_tile_kb,total_per_l3_kb,fits_in_l3,total_c_tiles,active_compute_tiles,subtile_compute_cycles,tile_compute_cycles,theoretical_min_cycles,load_a_cycles,load_b_cycles,drain_c_cycles,l3_transfer_a_cycles,l3_transfer_b_cycles,serial_total_cycles,serial_compute_util,serial_efficiency,serial_peak_concurrency,parallel_total_cycles,parallel_compute_util,parallel_efficiency,parallel_peak_concurrency,speedup,arithmetic_intensity,memory_bandwidth_gbps,pareto_optimal
1,1,1,4096,2048,8192,14336,0,1,1,1952544,1952544,1952544,131172,65636,262244,65556,32788,2263990,0.0539,0.8624,1,2345960,0.0520,0.8323,1,0.965,146.286,6.258,0
1,1,2,2048,1024,8192,11264,0,1,1,976272,1952544,1952544,65636,32868,262244,32788,16404,2264040,0.0539,0.8624,1,2280424,0.0535,0.8562,1,0.993,146.286,6.437,0
1,1,4,1024,512,8192,9728,0,1,1,532512,2130048,2130048,32868,16484,262244,16404,8212,2441644,0.0545,0.8724,1,2425160,0.0549,0.8783,1,1.007,146.286,6.053,0
1,1,8,512,256,8192,8960,0,1,1,266256,2130048,2130048,16484,8292,262244,8212,4116,2441844,0.0545,0.8723,1,2408776,0.0553,0.8843,2,1.014,146.286,6.094,0
1,1,16,256,128,8192,8576,0,1,1,177504,2840064,2840064,8292,4196,262244,4116,2068,3152260,0.0563,0.9010,1,3110600,0.0571,0.9130,2,1.013,146.286,4.719,0
1,1,32,128,64,8192,8384,0,1,1,88752,2840064,2840064,4196,2148,262244,2068,1044,3153060,0.0563,0.9007,1,3106504,0.0571,0.9142,2,1.015,146.286,4.726,0
1,1,64,64,32,8192,8288,0,1,1,88752,5680128,5680128,2148,1124,262244,1044,532,5994724,0.0592,0.9475,1,5944520,0.0597,0.9555,2,1.008,146.286,2.470,0
1,1,128,32,16,8192,8240,0,1,1,88752,11360256,11360256,1124,612,262244,532,276,11678052,0.0608,0.9728,1,11623624,0.0611,0.9773,2,1.005,146.286,1.263,0
1,2,1,4096,1024,4096,9216,0,2,2,998976,998976,998976,131172,32868,131172,65556,16404,1179375,0.1059,0.8470,2,1261320,0.0990,0.7920,2,0.935,146.286,11.639,0
1,2,2,2048,512,4096,6656,0,2,2,499488,998976,998976,65636,16484,131172,32788,8212,1179450,0.1059,0.8470,2,1195784,0.1044,0.8354,2,0.986,146.286,12.277,0
1,2,4,1024,256,4096,5376,0,2,2,272448,1089792,1089792,32868,8292,131172,16404,4116,1270416,0.1072,0.8578,2,1253832,0.1086,0.8692,4,1.013,146.286,11.708,0
1,2,8,512,128,4096,4736,0,2,2,136224,1089792,1089792,16484,4196,131172,8212,2068,1270716,0.1072,0.8576,2,1237448,0.1101,0.8807,4,1.027,146.286,11.863,0
1,2,16,256,64,4096,4416,0,2,2,90816,1453056,1453056,8292,2148,131172,4116,1044,1634580,0.1111,0.8889,2,1592520,0.1141,0.9124,4,1.026,146.286,9.218,0
1,2,32,128,32,4096,4256,0,2,2,45408,1453056,1453056,4196,1124,131172,2068,532,1635780,0.1110,0.8883,2,1588424,0.1143,0.9148,4,1.030,146.286,9.242,0
1,2,64,64,16,4096,4176,0,2,2,45408,2906112,2906112,2148,612,131172,1044,276,3091236,0.1175,0.9401,2,3039432,0.1195,0.9561,4,1.017,146.286,4.830,0
1,2,128,32,8,4096,4136,0,2,2,45408,5812224,5812224,1124,356,131172,532,148,6002148,0.1210,0.9684,2,5944520,0.1222,0.9777,4,1.010,146.286,2.470,0
1,4,1,4096,512,2048,6656,0,4,4,499488,499488,499488,131172,16484,65636,65556,8212,614401,0.2032,0.8130,4,696296,0.1793,0.7174,4,0.882,146.286,21.083,0
1,4,2,2048,256,2048,4352,0,4,4,249744,499488,499488,65636,8292,65636,32788,4116,614526,0.2032,0.8128,4,630760,0.1980,0.7919,7,0.974,146.286,23.274,0
1,4,4,1024,128,2048,3200,0,4,4,136224,544896,544896,32868,4196,65636,16404,2068,660184,0.2063,0.8254,4,643400,0.2117,0.8469,7,1.026,146.286,22.816,0
1,4,8,512,64,2048,2624,0,4,4,68112,544896,544896,16484,2148,65636,8212,1044,660684,0.2062,0.8247,4,627016,0.2173,0.8690,7,1.054,146.286,23.413,0
1,4,16,256,32,2048,2336,0,4,4,45408,726528,726528,8292,1124,65636,4116,532,843316,0.2154,0.8615,4,800456,0.2269,0.9076,8,1.054,146.286,18.340,0
1,4,32,128,16,2048,2192,0,4,4,22704,726528,726528,4196,612,65636,2068,276,845316,0.2149,0.8595,4,796360,0.2281,0.9123,8,1.061,146.286,18.434,0
1,4,64,64,8,2048,2120,0,4,4,22704,1453056,1453056,2148,356,65636,1044,148,1575844,0.2305,0.9221,4,1520840,0.2389,0.9554,8,1.036,146.286,9.653,0
1,4,128,32,4,2048,2084,0,4,4,22704,2906112,2906112,1124,228,65636,532,84,3036900,0.2392,0.9569,4,2972872,0.2444,0.9775,8,1.022,146.286,4.938,0
1,8,1,4096,256,1024,5376,0,8,8,272448,272448,272448,131172,8292,32868,65556,4116,354693,0.3841,0.7681,8,436488,0.3121,0.6242,8,0.813,146.286,33.632,0
1,8,2,2048,128,1024,3200,0,8,8,136224,272448,272448,65636,4196,32868,32788,2068,354918,0.3838,0.7676,8,370952,0.3672,0.7345,15,0.957,146.286,39.574,0
1,8,4,1024,64,1024,2112,0,8,8,74304,297216,297216,32868,2148,32868,16404,1044,380136,0.3909,0.7819,8,362952,0.4094,0.8189,16,1.047,146.286,40.446,0
1,8,8,512,32,1024,1568,0,8,8,37152,297216,297216,16484,1124,32868,8212,532,381036,0.3900,0.7800,8,346568,0.4288,0.8576,16,1.099,146.286,42.358,0
